business_id,business_address,business_city,business_latitude,business_longitude,inspection_score
1444,1560 Van Ness Ave,San Francisco,37.790085999999995,-122.42216699999999,100.0
1452,1525 FOLSOM St,San Francisco,37.771538,-122.414372,88.77777777777777
1454,1708 LAGUNA St,San Francisco,37.786838,-122.42831699999999,96.0
1466,1765 CALIFORNIA St,San Francisco,37.790193,-122.423437,95.5
1469,550 North Point St,San Francisco,37.806288,-122.41624399999999,99.0
1482,450 IRWIN St,San Francisco,37.767224,-122.39903899999999,74.0
1486,675 PORTOLA Dr,San Francisco,37.744735999999996,-122.452666,99.0
1487,101 02nd St 150,San Francisco,37.787834000000004,-122.39952199999999,94.25
1493,1 Ferry Building  C3,San Francisco,37.795184000000006,-122.393819,99.0
1496,757 MARKET St BASE.,San Francisco,37.786476,-122.404852,92.66666666666667
1505,359 Grant Ave,San Francisco,37.790376,-122.40554399999999,98.0
1508,Foot of Taylor St #7,San Francisco,37.795202,-122.413169,90.0
1509,543 DIVISADERO St,San Francisco,37.774674,-122.43776399999999,90.8
1520,199 FREMONT St,San Francisco,37.789314000000005,-122.395192,98.66666666666667
1526,2500 WASHINGTON St,San Francisco,37.791607,-122.43456299999998,78.4375
1527,301 05th St,San Francisco,37.780263,-122.403323,89.0
1529,490 BRANNAN St,San Francisco,37.778694,-122.39613899999999,98.0
1532,"150 Stockton St, Ground Floor",San Francisco,37.791585999999995,-122.408452,93.33333333333333
1534,916 Kearny St,San Francisco,37.796517,-122.40516699999999,89.0
1542,270 Potrero Ave,San Francisco,37.766293,-122.407671,84.88235294117646
1544,"500 California St, Basement",San Francisco,37.792888,-122.403135,98.66666666666667
1555,1 Cosmo Pl,San Francisco,37.788094,-122.41176000000002,91.0
1564,715 Bush St,San Francisco,37.790103,-122.409117,96.5
1565,700 Bush St,San Francisco,37.790219,-122.408849,90.1
1568,901 Columbus Ave,San Francisco,37.803056,-122.41418600000002,90.85714285714286
1571,150 Greenwich St,San Francisco,37.803208000000005,-122.402534,88.44444444444444
1579,Foot of Taylor St 5,San Francisco,37.802479,-122.41123400000001,91.45454545454545
1582,39 Sutter St,San Francisco,37.790102000000005,-122.40115800000001,78.54545454545455
1584,3295 22nd St,San Francisco,37.755303000000005,-122.420649,83.07692307692308
1595,941 COLE St,San Francisco,37.765343,-122.44991399999999,90.85714285714286
1596,86 Carl St,San Francisco,37.765848,-122.44966399999998,92.4
1598,800 Sutter St,San Francisco,37.788587,-122.413795,84.0
1608,951 Geneva Ave,San Francisco,37.715996999999994,-122.440048,91.77777777777777
1609,4015 24th St,San Francisco,37.751373,-122.43231899999999,80.0
1614,455 MARKET St,San Francisco,37.791227,-122.398872,95.66666666666667
1615,27 Drumm St,San Francisco,37.794184,-122.396524,92.22222222222223
1617,617 CLEMENT St,San Francisco,37.782843,-122.4659,72.15384615384616
1619,800-806 SOUTH VAN NESS Ave,San Francisco,37.76031,-122.417123,91.5
1626,4109 24th St,San Francisco,37.751243,-122.434529,88.0
1631,3917 24th St,San Francisco,37.751513,-122.43017900000001,79.0
1632,3100 MISSION St,San Francisco,37.748164,-122.418241,92.7
1635,770 Stanyan St,San Francisco,37.767828,-122.453227,91.0
1636,698 Haight St,San Francisco,37.771738,-122.43358300000001,88.0
1641,1551 Church St,San Francisco,37.745974,-122.426856,83.81818181818181
1649,299 02nd St,San Francisco,37.785614,-122.396693,90.5
1652,201 03rd St,San Francisco,37.785037,-122.40043200000001,85.25
1664,865 MARKET St C24,San Francisco,37.784317,-122.40756299999998,93.71428571428571
1668,340 BAYSHORE Blvd,San Francisco,37.742456,-122.40576599999999,88.25
1671,732 22ND St,San Francisco,37.757948,-122.38886200000002,89.0
1672,100 SPEAR St 140,San Francisco,37.792308,-122.393809,87.61538461538461
1673,101 SPEAR St,San Francisco,37.792577,-122.393992,80.71428571428571
1674,865 MARKET St,San Francisco,37.784317,-122.40756299999998,90.27272727272727
1685,670 Jackson St,San Francisco,37.796098,-122.406275,81.6
1687,505 Washington St,San Francisco,37.795659,-122.40172,87.75
1692,40 Belden Pl,San Francisco,37.791318,-122.40375700000001,83.71428571428571
1700,118 West Portal Ave,San Francisco,37.739413,-122.46744,92.0
1702,050 WEST PORTAL Ave,San Francisco,37.74033,-122.466412,77.33333333333333
1710,225 Stockton St,San Francisco,37.787936,-122.40671200000001,91.75
1712,3940 JUDAH St,San Francisco,37.760508,-122.504572,91.5
1724,1800 SUTTER St,San Francisco,37.786497999999995,-122.430283,81.85
1726,4285 MISSION St,San Francisco,37.728978999999995,-122.431008,92.0
1727,3126 24th St,San Francisco,37.752508,-122.414681,90.375
1734,771 O'FARRELL St,San Francisco,37.785182,-122.417409,80.0909090909091
1741,696 Geary St,San Francisco,37.786598,-122.41458300000001,91.2
1742,136 McAllister St,San Francisco,37.780916,-122.41431200000001,86.0
1754,2800 Leavenworth St,San Francisco,37.807167,-122.41893600000002,88.0
1757,1412 Polk St,San Francisco,37.789784000000004,-122.420455,83.8125
1764,1915 FILLMORE St,San Francisco,37.787553,-122.433574,88.66666666666667
1768,1199 Sutter St,San Francisco,37.787783000000005,-122.41973700000001,91.625
1777,1661 Divisadero St,San Francisco,37.785123999999996,-122.439874,81.0
1778,1800 Fillmore St,San Francisco,37.786497999999995,-122.430283,92.5
1784,1809 UNION St,San Francisco,37.797855,-122.429064,91.25
1788,150 EXECUTIVE PARK Blvd 2000,San Francisco,37.711323,-122.393371,89.85714285714286
1791,3117 CLEMENT St,San Francisco,37.781597,-122.492544,88.3529411764706
1792,3049 20th St,San Francisco,37.759073,-122.411418,90.0
1796,5609 MISSION St,San Francisco,37.711286,-122.446607,80.66666666666667
1797,2872 24th St,San Francisco,37.752807000000004,-122.409752,86.5
1798,1000 HARRISON St,San Francisco,37.777113,-122.404379,97.0
1800,5145 MISSION St,San Francisco,37.716583,-122.44083400000001,85.0
1810,6439 CALIFORNIA St,San Francisco,37.783773,-122.486779,
1811,634 CORTLAND Ave,San Francisco,37.738923,-122.41529299999999,91.66666666666667
1813,601 Sutter St,San Francisco,37.788942999999996,-122.410517,83.7
1815,55 4th St,San Francisco,37.784964,-122.404752,100.0
